,MeshID,Vertice_X,Vertice_Y,Vertice_Z
1,1,-118.11,0.00,70.87
2,1,-116.26,-6.64,70.87
3,1,-116.26,6.64,70.87
4,1,-115.50,0.00,57.88
5,1,-114.42,0.00,81.11
6,1,-113.82,-6.64,58.65
7,1,-113.82,6.64,58.65
8,1,-112.70,-6.64,80.31
9,1,-112.70,6.64,80.31
10,1,-112.20,-8.86,70.87
11,1,-112.20,8.86,70.87
12,1,-110.13,-8.86,60.36
13,1,-110.13,8.86,60.36
14,1,-108.91,-8.86,78.55
15,1,-108.91,8.86,78.55
16,1,-108.14,-6.64,70.87
17,1,-108.14,6.64,70.87
18,1,-107.53,0.00,45.58
19,1,-106.44,-6.64,62.06
20,1,-106.44,6.64,62.06
21,1,-106.34,-6.64,46.77
22,1,-106.34,6.64,46.77
23,1,-106.30,0.00,70.87
24,1,-105.13,-6.64,76.79
25,1,-105.13,6.64,76.79
26,1,-104.76,0.00,62.84
27,1,-103.72,-8.86,49.37
28,1,-103.72,8.86,49.37
29,1,-103.41,0.00,75.99
30,1,-103.35,0.00,86.37
31,1,-102.04,-6.64,85.16
32,1,-102.04,6.64,85.16
33,1,-101.09,-6.64,51.97
34,1,-101.09,6.64,51.97
35,1,-99.90,0.00,53.15
36,1,-99.16,-8.86,82.49
37,1,-99.16,8.86,82.49
38,1,-96.29,-6.64,79.83
39,1,-96.29,6.64,79.83
40,1,-94.98,0.00,78.62
41,1,-94.03,0.00,34.12
42,1,-93.61,-6.64,35.58
43,1,-93.61,6.64,35.58
44,1,-92.69,-8.86,38.79
45,1,-92.69,8.86,38.79
46,1,-91.77,-6.64,42.00
47,1,-91.77,6.64,42.00
48,1,-91.35,0.00,43.46
49,1,-84.89,0.00,88.31
50,1,-84.34,-6.64,86.94
51,1,-84.34,6.64,86.94
52,1,-83.14,-8.86,83.95
53,1,-83.14,8.86,83.95
54,1,-81.93,-6.64,80.95
55,1,-81.93,6.64,80.95
56,1,-81.39,0.00,79.59
57,1,-78.74,0.00,35.43
58,1,-78.13,-6.64,33.59
59,1,-78.13,6.64,33.59
60,1,-77.05,0.00,49.23
61,1,-76.77,-8.86,29.53
62,1,-76.77,8.86,29.53
63,1,-75.66,0.00,23.76
64,1,-75.42,-6.64,25.47
65,1,-75.42,6.64,25.47
66,1,-74.80,0.00,23.62
67,1,-72.64,-30.91,35.43
68,1,-72.64,30.91,35.43
69,1,-72.59,0.00,63.85
70,1,-71.08,-30.24,49.23
71,1,-71.08,30.24,49.23
72,1,-69.80,-29.70,23.76
73,1,-69.80,29.70,23.76
74,1,-68.90,0.00,15.13
75,1,-66.96,-28.49,63.85
76,1,-66.96,28.49,63.85
77,1,-66.28,0.00,79.03
78,1,-63.56,-27.04,15.13
79,1,-63.56,27.04,15.13
80,1,-62.99,0.00,79.72
81,1,-62.38,-6.64,81.11
82,1,-62.38,6.64,81.11
83,1,-62.13,0.00,9.27
84,1,-61.15,-26.02,79.03
85,1,-61.15,26.02,79.03
86,1,-61.02,-8.86,84.15
87,1,-61.02,8.86,84.15
88,1,-59.67,-6.64,87.20
89,1,-59.67,6.64,87.20
90,1,-59.06,0.00,5.91
91,1,-59.06,0.00,88.58
92,1,-59.06,0.00,94.49
93,1,-57.72,0.00,3.74
94,1,-57.32,-24.39,9.27
95,1,-57.32,24.39,9.27
96,1,-57.06,0.00,97.39
97,1,-55.91,-55.91,35.43
98,1,-55.91,55.91,35.43
99,1,-55.24,0.00,98.36
100,1,-55.12,0.00,94.49
101,1,-54.70,-54.70,49.23
102,1,-54.70,54.70,49.23
103,1,-54.48,-23.18,5.91
104,1,-54.48,-23.18,94.49
105,1,-54.48,23.18,5.91
106,1,-54.48,23.18,94.49
107,1,-54.35,0.00,97.39
108,1,-53.72,-53.72,23.76
109,1,-53.72,53.72,23.76
110,1,-53.24,-22.65,3.74
111,1,-53.24,22.65,3.74
112,1,-52.64,-22.39,97.39
113,1,-52.63,22.39,97.39
114,1,-51.54,-51.54,63.85
115,1,-51.54,51.54,63.85
116,1,-51.34,-21.63,94.49
117,1,-51.18,0.00,94.49
118,1,-51.02,-21.68,98.36
119,1,-50.96,21.68,98.36
120,1,-50.85,21.63,94.49
121,1,-50.57,0.00,1.85
122,1,-50.35,-21.33,97.39
123,1,-50.14,21.33,97.39
124,1,-48.92,-48.92,15.13
125,1,-48.92,48.92,15.13
126,1,-47.21,-20.09,94.49
127,1,-47.21,20.09,94.49
128,1,-47.06,-47.06,79.03
129,1,-47.06,47.06,79.03
130,1,-46.65,-19.85,1.85
131,1,-46.65,19.85,1.85
132,1,-45.52,0.00,97.99
133,1,-44.11,-44.11,9.27
134,1,-44.11,44.11,9.27
135,1,-41.99,-17.87,97.99
136,1,-41.99,17.87,97.99
137,1,-41.93,-41.93,5.91
138,1,-41.93,-41.93,94.49
139,1,-41.93,41.93,5.91
140,1,-41.93,41.93,94.49
141,1,-40.98,-40.98,3.74
142,1,-40.98,40.98,3.74
143,1,-40.53,-40.51,97.39
144,1,-40.51,40.51,97.39
145,1,-40.46,-39.13,94.49
146,1,-39.39,-39.22,98.36
147,1,-39.22,39.22,98.36
148,1,-39.15,-38.59,97.39
149,1,-39.13,39.13,94.49
150,1,-38.59,38.59,97.39
151,1,-36.34,-36.34,94.49
152,1,-36.34,36.34,94.49
153,1,-35.90,-35.90,1.85
154,1,-35.90,35.90,1.85
155,1,-32.90,0.00,0.51
156,1,-32.48,0.00,100.39
157,1,-32.32,-32.32,97.99
158,1,-32.32,32.32,97.99
159,1,-30.91,-72.64,35.43
160,1,-30.91,72.64,35.43
161,1,-30.35,-12.91,0.51
162,1,-30.35,12.91,0.51
163,1,-30.24,-71.08,49.23
164,1,-30.24,71.08,49.23
165,1,-29.96,-12.75,100.39
166,1,-29.96,12.75,100.39
167,1,-29.70,-69.80,23.76
168,1,-29.70,69.80,23.76
169,1,-28.49,-66.96,63.85
170,1,-28.49,66.96,63.85
171,1,-27.04,-63.56,15.13
172,1,-27.04,63.56,15.13
173,1,-26.02,-61.15,79.03
174,1,-26.02,61.15,79.03
175,1,-24.39,-57.32,9.27
176,1,-24.39,57.32,9.27
177,1,-23.36,-23.36,0.51
178,1,-23.36,23.36,0.51
179,1,-23.18,-54.48,5.91
180,1,-23.18,-54.48,94.49
181,1,-23.18,54.48,5.91
182,1,-23.18,54.48,94.49
183,1,-23.13,-50.85,94.49
184,1,-23.06,-23.06,100.39
185,1,-23.06,23.06,100.39
186,1,-22.65,-53.24,3.74
187,1,-22.65,53.24,3.74
188,1,-22.42,-52.63,97.39
189,1,-22.39,52.63,97.39
190,1,-21.96,-50.14,97.39
191,1,-21.87,-50.96,98.36
192,1,-21.68,50.96,98.36
193,1,-21.63,50.85,94.49
194,1,-21.33,50.14,97.39
195,1,-20.09,-47.21,94.49
196,1,-20.09,47.21,94.49
197,1,-19.85,-46.65,1.85
198,1,-19.85,46.65,1.85
199,1,-17.96,0.00,102.79
200,1,-17.87,-41.99,97.99
201,1,-17.87,41.99,97.99
202,1,-16.57,-7.05,102.79
203,1,-16.57,7.05,102.79
204,1,-13.41,0.00,122.08
205,1,-12.91,-30.35,0.51
206,1,-12.91,30.35,0.51
207,1,-12.80,0.00,117.37
208,1,-12.75,-12.75,102.79
209,1,-12.75,12.75,102.79
210,1,-12.75,-29.96,100.39
211,1,-12.75,29.96,100.39
212,1,-12.38,-5.28,122.08
213,1,-12.38,5.28,122.08
214,1,-11.81,-5.03,117.37
215,1,-11.81,5.03,117.37
216,1,-9.53,-9.53,122.08
217,1,-9.53,9.53,122.08
218,1,-9.10,-9.10,117.37
219,1,-9.10,9.10,117.37
220,1,-7.87,0.00,106.30
221,1,-7.75,0.00,111.56
222,1,-7.26,-3.09,106.30
223,1,-7.26,3.09,106.30
224,1,-7.15,-3.05,111.56
225,1,-7.15,3.05,111.56
226,1,-7.05,-16.57,102.79
227,1,-7.05,16.57,102.79
228,1,-5.59,-5.59,106.30
229,1,-5.59,5.59,106.30
230,1,-5.51,-5.51,111.56
231,1,-5.51,5.51,111.56
232,1,-5.28,-12.38,122.08
233,1,-5.28,12.38,122.08
234,1,-5.03,-11.81,117.37
235,1,-5.03,11.81,117.37
236,1,-3.09,-7.26,106.30
237,1,-3.09,7.26,106.30
238,1,-3.05,-7.15,111.56
239,1,-3.05,7.15,111.56
240,1,0.00,-78.74,35.43
241,1,0.00,-77.05,49.23
242,1,0.00,-75.66,23.76
243,1,0.00,-72.59,63.85
244,1,0.00,-68.90,15.13
245,1,0.00,-66.28,79.03
246,1,0.00,-62.13,9.27
247,1,0.00,-59.06,5.91
248,1,0.00,-59.06,94.49
249,1,0.00,-57.72,3.74
250,1,0.00,-57.06,97.39
251,1,0.00,-55.24,98.36
252,1,0.00,-55.12,94.49
253,1,0.00,-54.35,97.39
254,1,0.00,-51.18,94.49
255,1,0.00,-50.57,1.85
256,1,0.00,-45.52,97.99
257,1,0.00,-32.90,0.51
258,1,0.00,-32.48,100.39
259,1,0.00,-17.96,102.79
260,1,0.00,-13.41,122.08
261,1,0.00,-12.80,117.37
262,1,0.00,-7.87,106.30
263,1,0.00,-7.75,111.56
264,1,0.00,0.00,0.00
265,1,0.00,0.00,124.02
266,1,0.00,7.75,111.56
267,1,0.00,7.87,106.30
268,1,0.00,12.80,117.37
269,1,0.00,13.41,122.08
270,1,0.00,17.96,102.79
271,1,0.00,32.48,100.39
272,1,0.00,32.90,0.51
273,1,0.00,45.52,97.99
274,1,0.00,50.57,1.85
275,1,0.00,51.18,94.49
276,1,0.00,54.35,97.39
277,1,0.00,55.12,94.49
278,1,0.00,55.24,98.36
279,1,0.00,57.06,97.39
280,1,0.00,57.72,3.74
281,1,0.00,59.06,5.91
282,1,0.00,59.06,94.49
283,1,0.00,62.13,9.27
284,1,0.00,66.28,79.03
285,1,0.00,68.90,15.13
286,1,0.00,72.59,63.85
287,1,0.00,75.66,23.76
288,1,0.00,77.05,49.23
289,1,0.00,78.74,35.43
290,1,3.05,-7.15,111.56
291,1,3.05,7.15,111.56
292,1,3.09,-7.26,106.30
293,1,3.09,7.26,106.30
294,1,5.03,-11.81,117.37
295,1,5.03,11.81,117.37
296,1,5.28,-12.38,122.08
297,1,5.28,12.38,122.08
298,1,5.51,-5.51,111.56
299,1,5.51,5.51,111.56
300,1,5.59,-5.59,106.30
301,1,5.59,5.59,106.30
302,1,7.05,-16.57,102.79
303,1,7.05,16.57,102.79
304,1,7.15,-3.05,111.56
305,1,7.15,3.05,111.56
306,1,7.26,-3.09,106.30
307,1,7.26,3.09,106.30
308,1,7.75,0.00,111.56
309,1,7.87,0.00,106.30
310,1,9.10,-9.10,117.37
311,1,9.10,9.10,117.37
312,1,9.53,-9.53,122.08
313,1,9.53,9.53,122.08
314,1,11.81,-5.03,117.37
315,1,11.81,5.03,117.37
316,1,12.38,-5.28,122.08
317,1,12.38,5.28,122.08
318,1,12.75,-29.96,100.39
319,1,12.75,29.96,100.39
320,1,12.75,-12.75,102.79
321,1,12.75,12.75,102.79
322,1,12.80,0.00,117.37
323,1,12.91,-30.35,0.51
324,1,12.91,30.35,0.51
325,1,13.41,0.00,122.08
326,1,16.57,-7.05,102.79
327,1,16.57,7.05,102.79
328,1,17.87,-41.99,97.99
329,1,17.87,41.99,97.99
330,1,17.96,0.00,102.79
331,1,19.85,-46.65,1.85
332,1,19.85,46.65,1.85
333,1,20.09,-47.21,94.49
334,1,20.09,47.21,94.49
335,1,21.33,-50.14,97.39
336,1,21.33,50.14,97.39
337,1,21.63,-50.85,94.49
338,1,21.63,50.85,94.49
339,1,21.68,-50.96,98.36
340,1,21.68,50.96,98.36
341,1,22.39,-52.63,97.39
342,1,22.39,52.63,97.39
343,1,22.65,-53.24,3.74
344,1,22.65,53.24,3.74
345,1,23.06,-23.06,100.39
346,1,23.06,23.06,100.39
347,1,23.18,-54.48,5.91
348,1,23.18,-54.48,94.49
349,1,23.18,54.48,5.91
350,1,23.18,54.48,94.49
351,1,23.36,-23.36,0.51
352,1,23.36,23.36,0.51
353,1,24.39,-57.32,9.27
354,1,24.39,57.32,9.27
355,1,26.02,-61.15,79.03
356,1,26.02,61.15,79.03
357,1,27.04,-63.56,15.13
358,1,27.04,63.56,15.13
359,1,28.49,-66.96,63.85
360,1,28.49,66.96,63.85
361,1,29.70,-69.80,23.76
362,1,29.70,69.80,23.76
363,1,29.96,-12.75,100.39
364,1,29.96,12.75,100.39
365,1,30.24,-71.08,49.23
366,1,30.24,71.08,49.23
367,1,30.35,-12.91,0.51
368,1,30.35,12.91,0.51
369,1,30.91,-72.64,35.43
370,1,30.91,72.64,35.43
371,1,32.32,-32.32,97.99
372,1,32.32,32.32,97.99
373,1,32.48,0.00,100.39
374,1,32.90,0.00,0.51
375,1,35.90,-35.90,1.85
376,1,35.90,35.90,1.85
377,1,36.34,-36.34,94.49
378,1,36.34,36.34,94.49
379,1,38.59,-38.59,97.39
380,1,38.59,38.59,97.39
381,1,39.13,-39.13,94.49
382,1,39.13,39.13,94.49
383,1,39.22,-39.22,98.36
384,1,39.22,39.22,98.36
385,1,40.51,-40.51,97.39
386,1,40.51,40.51,97.39
387,1,40.98,-40.98,3.74
388,1,40.98,40.98,3.74
389,1,41.93,-41.93,5.91
390,1,41.93,-41.93,94.49
391,1,41.93,41.93,5.91
392,1,41.93,41.93,94.49
393,1,41.99,-17.87,97.99
394,1,41.99,17.87,97.99
395,1,44.11,-44.11,9.27
396,1,44.11,44.11,9.27
397,1,45.52,0.00,97.99
398,1,46.65,-19.85,1.85
399,1,46.65,19.85,1.85
400,1,47.06,-47.06,79.03
401,1,47.06,47.06,79.03
402,1,47.21,-20.09,94.49
403,1,47.21,20.09,94.49
404,1,48.92,-48.92,15.13
405,1,48.92,48.92,15.13
406,1,50.14,-21.33,97.39
407,1,50.14,21.33,97.39
408,1,50.57,0.00,1.85
409,1,50.85,-21.63,94.49
410,1,50.85,21.63,94.49
411,1,50.96,-21.68,98.36
412,1,50.96,21.68,98.36
413,1,51.18,0.00,94.49
414,1,51.54,-51.54,63.85
415,1,51.54,51.54,63.85
416,1,52.63,-22.39,97.39
417,1,52.63,22.39,97.39
418,1,53.24,-22.65,3.74
419,1,53.24,22.65,3.74
420,1,53.72,-53.72,23.76
421,1,53.72,53.72,23.76
422,1,54.35,0.00,97.39
423,1,54.48,-23.18,5.91
424,1,54.48,-23.18,94.49
425,1,54.48,23.18,5.91
426,1,54.48,23.18,94.49
427,1,54.70,-54.70,49.23
428,1,54.70,54.70,49.23
429,1,55.12,0.00,94.49
430,1,55.24,0.00,98.36
431,1,55.91,-55.91,35.43
432,1,55.91,55.91,35.43
433,1,57.06,0.00,97.39
434,1,57.32,-24.39,9.27
435,1,57.32,24.39,9.27
436,1,57.72,0.00,3.74
437,1,59.06,0.00,5.91
438,1,59.06,0.00,94.49
439,1,61.15,-26.02,79.03
440,1,61.15,26.02,79.03
441,1,62.13,0.00,9.27
442,1,63.56,-27.04,15.13
443,1,63.56,27.04,15.13
444,1,66.28,0.00,79.03
445,1,66.93,-19.49,39.86
446,1,66.93,-14.62,28.70
447,1,66.93,-14.62,51.03
448,1,66.93,0.00,23.62
449,1,66.93,0.00,56.10
450,1,66.93,14.62,28.70
451,1,66.93,14.62,51.03
452,1,66.93,19.49,39.86
453,1,66.96,-28.49,63.85
454,1,66.96,28.49,63.85
455,1,68.90,0.00,15.13
456,1,69.80,-29.70,23.76
457,1,69.80,29.70,23.76
458,1,71.08,-30.24,49.23
459,1,71.08,30.24,49.23
460,1,72.59,0.00,63.85
461,1,72.64,-30.91,35.43
462,1,72.64,30.91,35.43
463,1,75.66,0.00,23.76
464,1,77.05,0.00,49.23
465,1,78.74,0.00,35.43
466,1,85.81,0.00,60.44
467,1,87.26,-13.20,56.68
468,1,87.26,13.20,56.68
469,1,90.43,-17.60,48.40
470,1,90.43,17.60,48.40
471,1,93.60,-13.20,40.12
472,1,93.60,13.20,40.12
473,1,94.00,0.00,70.87
474,1,95.04,0.00,36.36
475,1,95.84,-10.08,68.67
476,1,95.84,10.08,68.67
477,1,98.49,0.00,83.51
478,1,99.90,-13.44,63.85
479,1,99.90,13.44,63.85
480,1,100.74,-6.96,82.71
481,1,100.74,6.96,82.71
482,1,103.96,-10.08,59.03
483,1,103.96,10.08,59.03
484,1,105.68,-9.27,80.97
485,1,105.68,9.27,80.97
486,1,105.81,0.00,56.84
487,1,106.30,0.00,94.49
488,1,109.13,0.00,96.15
489,1,109.99,-5.54,94.49
490,1,109.99,5.54,94.49
491,1,110.24,0.00,94.49
492,1,110.63,-6.96,79.23
493,1,110.63,6.96,79.23
494,1,111.22,0.00,96.70
495,1,111.84,0.00,96.15
496,1,112.70,-3.32,94.49
497,1,112.70,3.32,94.49
498,1,112.88,0.00,78.43
499,1,113.08,-5.19,96.23
500,1,113.08,5.19,96.23
501,1,114.93,-4.43,96.83
502,1,114.93,4.43,96.83
503,1,114.99,-3.67,96.26
504,1,114.99,3.67,96.26
505,1,118.11,-7.38,94.49
506,1,118.11,-4.43,94.49
507,1,118.11,4.43,94.49
508,1,118.11,7.38,94.49
509,1,121.78,-6.92,96.41
510,1,121.78,6.92,96.41
511,1,121.92,-4.89,96.51
512,1,121.92,4.89,96.51
513,1,123.09,-5.91,97.12
514,1,123.09,5.91,97.12
515,1,123.52,-3.32,94.49
516,1,123.52,3.32,94.49
517,1,125.98,0.00,94.49
518,1,126.23,-5.54,94.49
519,1,126.23,5.54,94.49
520,1,128.85,-3.67,96.76
521,1,128.85,3.67,96.76
522,1,129.92,0.00,94.49
523,1,130.47,-5.19,96.59
524,1,130.47,5.19,96.59
525,1,131.26,-4.43,97.40
526,1,131.26,4.43,97.40
527,1,132.00,0.00,96.88
528,1,134.43,0.00,96.67
529,1,134.97,0.00,97.53
530,0,0,0,0
